order_id,supplier,product,order_date,promised_date,delivery_date,ordered_qty,delivered_qty,unit_cost,status
ORD-0022,Alpha Components,Raw Material B,2026-03-19,2026-03-23,2026-03-23,412,412,23.43,Complete
ORD-0023,Beta Metals,Component Z,2026-02-08,2026-02-12,2026-02-12,412,412,9.96,Complete
ORD-0024,Alpha Components,Raw Material A,2026-07-14,2026-07-23,2026-07-23,379,379,43.26,Complete
ORD-0025,Beta Metals,Raw Material B,2026-06-14,2026-06-19,2026-06-19,90,90,72.83,Complete
ORD-0026,Delta Logistics,Raw Material B,2026-05-16,2026-05-21,2026-05-21,310,310,63.96,Complete
ORD-0027,Alpha Components,Raw Material A,2026-03-26,2026-04-05,2026-04-10,387,379,123.06,Short
ORD-0028,Delta Logistics,Raw Material A,2026-06-22,2026-06-26,2026-07-04,572,429,61.65,Short
ORD-0029,Beta Metals,Raw Material A,2026-04-25,2026-05-05,2026-05-07,339,339,83.32,Complete
ORD-0030,Omega Parts,Raw Material A,2026-04-04,2026-04-14,2026-04-14,238,226,92.28,Short
ORD-0031,Delta Logistics,Raw Material B,2026-04-05,2026-04-12,2026-04-13,355,266,11.1,Short
ORD-0032,Beta Metals,Raw Material A,2026-02-17,2026-02-21,2026-02-22,147,129,81.15,Short
ORD-0033,Gamma Packaging,Raw Material A,2026-01-20,2026-01-24,2026-01-24,99,74,56.97,Short
ORD-0034,Alpha Components,Component Z,2026-04-27,2026-05-02,2026-05-03,422,422,67.82,Complete
ORD-0035,Alpha Components,Raw Material A,2026-07-06,2026-07-13,2026-07-13,592,520,22.24,Short
ORD-0036,Omega Parts,Raw Material A,2026-01-14,2026-01-18,2026-01-18,515,386,119.16,Short
ORD-0037,Omega Parts,Raw Material A,2026-06-30,2026-07-06,2026-07-06,371,371,141.82,Complete
ORD-0038,Alpha Components,Raw Material A,2026-06-23,2026-06-26,2026-06-26,72,70,11.16,Short
ORD-0039,Beta Metals,Packaging X,2026-02-28,2026-03-07,2026-03-07,593,581,93.39,Short
ORD-0040,Alpha Components,Component Z,2026-05-13,2026-05-16,2026-05-18,297,291,116.47,Short
ORD-0041,Beta Metals,Packaging Y,2026-02-04,2026-02-12,2026-02-20,209,209,48.44,Complete
ORD-0042,Beta Metals,Packaging X,2026-06-09,2026-06-12,2026-06-12,540,405,119.83,Short
ORD-0043,Beta Metals,Raw Material A,2026-05-28,2026-06-01,2026-06-03,460,345,97.79,Short
ORD-0044,Gamma Packaging,Packaging Y,2026-03-16,2026-03-20,2026-03-28,462,462,139.94,Complete
ORD-0045,Alpha Components,Raw Material A,2026-01-15,2026-01-24,2026-01-24,202,177,147.3,Short
ORD-0046,Omega Parts,Packaging Y,2026-07-23,2026-07-26,2026-07-26,595,595,14.01,Complete
ORD-0047,Delta Logistics,Packaging X,2026-04-04,2026-04-10,2026-04-10,299,263,71.18,Short
ORD-0048,Delta Logistics,Component Z,2026-07-07,2026-07-14,2026-07-14,342,324,85.67,Short
ORD-0049,Alpha Components,Raw Material B,2026-05-23,2026-05-30,2026-06-01,463,453,28.84,Short
ORD-0050,Delta Logistics,Packaging Y,2026-06-13,2026-06-21,2026-06-21,412,412,55.75,Complete
ORD-0051,Omega Parts,Packaging X,2026-06-09,2026-06-18,2026-06-18,144,136,148.25,Short
ORD-0052,Alpha Components,Packaging X,2026-02-10,2026-02-16,2026-02-16,216,216,10.3,Complete
ORD-0053,Delta Logistics,Component Z,2026-03-18,2026-03-27,2026-03-27,248,248,72.26,Complete
ORD-0054,Beta Metals,Packaging Y,2026-04-09,2026-04-14,2026-04-17,571,571,127.66,Complete
ORD-0055,Delta Logistics,Packaging X,2026-04-15,2026-04-25,2026-04-25,442,331,53.99,Short
ORD-0056,Gamma Packaging,Packaging X,2026-01-10,2026-01-17,2026-01-17,251,251,76.13,Complete
ORD-0057,Omega Parts,Packaging Y,2026-04-25,2026-05-03,2026-05-03,454,399,146.88,Short
ORD-0058,Alpha Components,Raw Material B,2026-02-02,2026-02-12,2026-02-12,456,342,75.43,Short
ORD-0059,Beta Metals,Raw Material A,2026-06-06,2026-06-15,2026-06-15,266,266,26.59,Complete
ORD-0060,Beta Metals,Packaging X,2026-05-24,2026-06-02,2026-06-02,271,257,15.34,Short
ORD-0061,Beta Metals,Raw Material A,2026-07-13,2026-07-20,2026-07-20,541,513,142.25,Short
ORD-0062,Beta Metals,Raw Material A,2026-06-06,2026-06-09,2026-06-09,359,359,45.74,Complete
ORD-0063,Beta Metals,Packaging X,2026-03-18,2026-03-24,2026-03-27,132,125,79.58,Short
ORD-0064,Alpha Components,Packaging Y,2026-07-23,2026-07-27,2026-07-28,445,445,20.88,Complete
ORD-0065,Delta Logistics,Packaging Y,2026-03-28,2026-04-07,2026-04-08,374,366,68.16,Short
ORD-0066,Gamma Packaging,Raw Material B,2026-03-10,2026-03-14,2026-03-15,329,322,140.07,Short
ORD-0067,Omega Parts,Packaging X,2026-07-10,2026-07-14,2026-07-16,448,394,79.34,Short
ORD-0068,Delta Logistics,Raw Material A,2026-03-19,2026-03-23,2026-03-23,548,520,145.9,Short
ORD-0069,Alpha Components,Packaging Y,2026-01-17,2026-01-25,2026-01-25,231,231,44.75,Complete
ORD-0070,Alpha Components,Raw Material B,2026-04-09,2026-04-16,2026-04-16,280,210,79.65,Short
ORD-0071,Gamma Packaging,Packaging Y,2026-06-17,2026-06-27,2026-06-27,154,135,130.05,Short
ORD-0072,Gamma Packaging,Component Z,2026-02-09,2026-02-15,2026-02-18,405,303,71.65,Short
ORD-0073,Beta Metals,Packaging Y,2026-04-08,2026-04-13,2026-04-13,271,238,47.69,Short
ORD-0074,Delta Logistics,Raw Material B,2026-01-28,2026-01-31,2026-02-02,238,238,129.48,Complete
ORD-0075,Gamma Packaging,Component Z,2026-05-25,2026-05-28,2026-05-31,433,381,63.36,Short
ORD-0076,Delta Logistics,Packaging Y,2026-04-10,2026-04-15,2026-04-15,274,274,83.36,Complete
ORD-0077,Alpha Components,Packaging Y,2026-03-11,2026-03-21,2026-03-24,305,305,146.67,Complete
ORD-0078,Omega Parts,Component Z,2026-02-17,2026-02-24,2026-02-24,292,286,34.48,Short
ORD-0079,Beta Metals,Component Z,2026-04-29,2026-05-09,2026-05-12,192,144,50.8,Short
ORD-0080,Gamma Packaging,Raw Material A,2026-05-21,2026-05-24,2026-05-24,119,116,12.41,Short
ORD-0081,Gamma Packaging,Component Z,2026-07-17,2026-07-20,2026-07-20,504,504,63.64,Complete
ORD-0082,Omega Parts,Packaging Y,2026-04-02,2026-04-11,2026-04-11,100,98,36.43,Short
ORD-0083,Beta Metals,Raw Material B,2026-02-03,2026-02-06,2026-02-06,228,228,104.56,Complete
ORD-0084,Beta Metals,Raw Material B,2026-06-24,2026-06-27,2026-06-27,417,396,33.75,Short
ORD-0085,Beta Metals,Packaging Y,2026-05-13,2026-05-19,2026-05-22,122,122,103.82,Complete
ORD-0086,Beta Metals,Raw Material B,2026-05-28,2026-06-07,2026-06-08,410,401,45.41,Short
ORD-0087,Alpha Components,Packaging X,2026-01-21,2026-01-29,2026-01-29,453,453,58.44,Complete
ORD-0088,Alpha Components,Packaging Y,2026-03-07,2026-03-10,2026-03-10,414,414,57.54,Complete
ORD-0089,Beta Metals,Packaging Y,2026-06-11,2026-06-20,2026-06-20,217,162,109.78,Short
ORD-0090,Gamma Packaging,Component Z,2026-06-24,2026-07-03,2026-07-03,60,60,74.24,Complete
ORD-0091,Beta Metals,Raw Material A,2026-04-02,2026-04-11,2026-04-16,538,538,59.3,Complete
ORD-0092,Beta Metals,Raw Material B,2026-06-19,2026-06-29,2026-06-29,229,229,129.07,Complete
ORD-0093,Delta Logistics,Component Z,2026-06-26,2026-06-30,2026-06-30,492,482,89.22,Short
ORD-0094,Beta Metals,Packaging X,2026-03-23,2026-04-02,2026-04-02,158,158,38.36,Complete
ORD-0095,Omega Parts,Raw Material B,2026-07-08,2026-07-13,2026-07-13,139,139,135.81,Complete
ORD-0096,Delta Logistics,Raw Material B,2026-03-02,2026-03-11,2026-03-11,477,477,56.66,Complete
ORD-0097,Alpha Components,Raw Material B,2026-02-20,2026-02-27,2026-02-28,566,554,13.54,Short
ORD-0098,Beta Metals,Packaging X,2026-05-24,2026-06-02,2026-06-03,523,460,78.23,Short
ORD-0099,Alpha Components,Raw Material B,2026-05-14,2026-05-22,2026-05-30,463,347,25.6,Short
ORD-0100,Beta Metals,Packaging Y,2026-01-30,2026-02-07,2026-02-08,185,185,41.86,Complete
ORD-0101,Beta Metals,Packaging X,2026-06-24,2026-07-01,2026-07-01,552,414,114.09,Short
ORD-0102,Alpha Components,Packaging Y,2026-02-11,2026-02-20,2026-02-22,417,417,26.57,Complete
ORD-0103,Alpha Components,Raw Material A,2026-06-19,2026-06-27,2026-06-30,144,126,122.59,Short
ORD-0104,Gamma Packaging,Packaging Y,2026-01-02,2026-01-06,2026-01-07,121,118,141.04,Short
ORD-0105,Delta Logistics,Component Z,2026-06-17,2026-06-26,2026-07-01,529,465,94.13,Short
ORD-0106,Beta Metals,Raw Material A,2026-06-15,2026-06-22,2026-06-24,201,176,108.87,Short
ORD-0107,Omega Parts,Raw Material B,2026-06-13,2026-06-18,2026-06-21,471,461,109.33,Short
ORD-0108,Beta Metals,Packaging Y,2026-05-20,2026-05-27,2026-05-27,126,126,148.98,Complete
ORD-0109,Omega Parts,Packaging Y,2026-04-10,2026-04-20,2026-04-21,204,199,56.5,Short
ORD-0110,Beta Metals,Packaging Y,2026-05-29,2026-06-07,2026-06-07,205,180,31.13,Short
ORD-0111,Gamma Packaging,Packaging X,2026-02-28,2026-03-09,2026-03-09,204,153,81.72,Short
ORD-0112,Delta Logistics,Packaging Y,2026-06-13,2026-06-19,2026-06-20,421,315,83.72,Short
ORD-0113,Alpha Components,Packaging Y,2026-04-27,2026-05-06,2026-05-11,552,552,33.26,Complete
ORD-0114,Omega Parts,Raw Material A,2026-04-07,2026-04-13,2026-04-21,550,522,95.06,Short
ORD-0115,Beta Metals,Packaging Y,2026-04-17,2026-04-25,2026-04-25,457,457,10.01,Complete
ORD-0116,Gamma Packaging,Packaging X,2026-04-30,2026-05-08,2026-05-09,161,152,139.73,Short
ORD-0117,Delta Logistics,Raw Material A,2026-01-08,2026-01-12,2026-01-14,578,433,45.57,Short
ORD-0118,Delta Logistics,Packaging X,2026-01-30,2026-02-04,2026-02-04,348,348,13.62,Complete
ORD-0119,Alpha Components,Packaging X,2026-02-21,2026-02-24,2026-02-24,350,332,23.37,Short
ORD-0120,Omega Parts,Raw Material A,2026-01-25,2026-01-29,2026-01-29,435,326,42.12,Short
ORD-0121,Delta Logistics,Component Z,2026-04-03,2026-04-09,2026-04-11,473,416,46.89,Short
ORD-0122,Omega Parts,Raw Material B,2026-05-21,2026-05-27,2026-05-27,574,574,12.66,Complete
ORD-0123,Gamma Packaging,Raw Material B,2026-05-18,2026-05-22,2026-05-30,370,370,47.67,Complete
ORD-0124,Delta Logistics,Packaging X,2026-04-09,2026-04-15,2026-04-15,385,288,35.4,Short
ORD-0125,Gamma Packaging,Component Z,2026-06-29,2026-07-06,2026-07-14,460,345,61.76,Short
ORD-0126,Omega Parts,Packaging Y,2026-04-29,2026-05-03,2026-05-03,190,180,62.69,Short
ORD-0127,Omega Parts,Packaging Y,2026-01-17,2026-01-22,2026-01-24,219,164,56.14,Short
ORD-0128,Omega Parts,Raw Material B,2026-06-10,2026-06-15,2026-06-15,394,394,54.57,Complete
ORD-0129,Gamma Packaging,Component Z,2026-05-01,2026-05-08,2026-05-08,85,80,20.74,Short
ORD-0130,Delta Logistics,Component Z,2026-05-14,2026-05-19,2026-05-21,226,226,11.58,Complete
ORD-0131,Beta Metals,Packaging X,2026-04-29,2026-05-07,2026-05-12,444,333,36.7,Short
ORD-0132,Gamma Packaging,Packaging X,2026-04-27,2026-05-02,2026-05-04,586,556,115.44,Short
ORD-0133,Delta Logistics,Raw Material A,2026-01-20,2026-01-26,2026-01-26,335,251,148.69,Short
ORD-0134,Alpha Components,Packaging Y,2026-04-28,2026-05-04,2026-05-04,269,263,139.85,Short
ORD-0135,Delta Logistics,Component Z,2026-06-16,2026-06-20,2026-06-20,292,292,79.6,Complete
ORD-0136,Alpha Components,Packaging X,2026-03-05,2026-03-13,2026-03-13,426,426,83.52,Complete
ORD-0137,Gamma Packaging,Packaging X,2026-05-07,2026-05-11,2026-05-12,349,349,52.67,Complete
ORD-0138,Gamma Packaging,Packaging X,2026-01-07,2026-01-12,2026-01-13,62,54,117.9,Short
ORD-0139,Gamma Packaging,Raw Material A,2026-03-14,2026-03-23,2026-03-25,346,346,116.6,Complete
ORD-0140,Gamma Packaging,Packaging Y,2026-04-02,2026-04-12,2026-04-15,270,237,127.89,Short
ORD-0141,Gamma Packaging,Packaging Y,2026-07-26,2026-08-03,2026-08-04,435,435,135.16,Complete
ORD-0142,Gamma Packaging,Component Z,2026-02-15,2026-02-25,2026-02-27,531,520,69.68,Short
ORD-0143,Gamma Packaging,Component Z,2026-02-28,2026-03-09,2026-03-09,579,579,116.9,Complete
ORD-0144,Gamma Packaging,Packaging X,2026-03-27,2026-04-02,2026-04-02,385,377,122.51,Short
ORD-0145,Delta Logistics,Component Z,2026-07-28,2026-08-06,2026-08-07,249,244,51.8,Short
ORD-0146,Gamma Packaging,Packaging X,2026-06-29,2026-07-04,2026-07-07,294,294,139.95,Complete
ORD-0147,Delta Logistics,Packaging Y,2026-01-08,2026-01-14,2026-01-14,147,144,21.4,Short
ORD-0148,Omega Parts,Packaging Y,2026-02-19,2026-02-26,2026-02-26,564,496,149.19,Short
ORD-0149,Omega Parts,Component Z,2026-06-22,2026-07-02,2026-07-03,516,387,117.35,Short
ORD-0150,Alpha Components,Packaging Y,2026-01-13,2026-01-22,2026-01-22,519,519,21.24,Complete
ORD-0151,Delta Logistics,Raw Material A,2026-06-29,2026-07-05,2026-07-05,230,172,101.18,Short
ORD-0152,Beta Metals,Raw Material A,2026-03-01,2026-03-09,2026-03-12,227,170,12.85,Short
ORD-0153,Alpha Components,Packaging X,2026-07-12,2026-07-16,2026-07-17,521,390,117.37,Short
ORD-0154,Delta Logistics,Packaging X,2026-03-03,2026-03-12,2026-03-12,349,349,121.49,Complete
ORD-0155,Alpha Components,Packaging Y,2026-04-02,2026-04-09,2026-04-12,437,384,93.54,Short
ORD-0156,Omega Parts,Packaging X,2026-05-20,2026-05-27,2026-05-27,319,312,129.67,Short
ORD-0157,Delta Logistics,Packaging X,2026-01-27,2026-02-05,2026-02-08,293,293,21.9,Complete
ORD-0158,Omega Parts,Component Z,2026-04-27,2026-05-05,2026-05-05,397,397,47.18,Complete
ORD-0159,Delta Logistics,Raw Material B,2026-04-17,2026-04-20,2026-04-20,497,472,66.81,Short
ORD-0160,Omega Parts,Packaging X,2026-06-14,2026-06-19,2026-06-19,233,233,14.03,Complete
ORD-0161,Alpha Components,Packaging X,2026-07-29,2026-08-02,2026-08-02,495,485,71.65,Short
ORD-0162,Omega Parts,Packaging X,2026-05-20,2026-05-28,2026-05-31,184,161,45.66,Short
ORD-0163,Alpha Components,Component Z,2026-03-27,2026-03-30,2026-03-30,271,271,63.77,Complete
ORD-0164,Beta Metals,Component Z,2026-03-27,2026-03-31,2026-03-31,551,539,68.36,Short
ORD-0165,Alpha Components,Packaging X,2026-03-29,2026-04-05,2026-04-05,574,574,132.88,Complete
ORD-0166,Gamma Packaging,Packaging X,2026-06-20,2026-06-28,2026-06-29,558,546,46.39,Short
ORD-0167,Delta Logistics,Packaging X,2026-03-09,2026-03-16,2026-03-18,223,223,134.91,Complete
ORD-0168,Beta Metals,Raw Material A,2026-02-05,2026-02-14,2026-02-22,513,384,68.49,Short
ORD-0169,Omega Parts,Packaging X,2026-03-12,2026-03-22,2026-03-22,564,564,54.55,Complete
ORD-0170,Delta Logistics,Raw Material B,2026-01-05,2026-01-09,2026-01-09,588,441,79.36,Short
ORD-0171,Delta Logistics,Raw Material A,2026-01-23,2026-02-02,2026-02-02,61,53,67.32,Short
ORD-0172,Omega Parts,Raw Material A,2026-01-19,2026-01-26,2026-01-26,459,403,44.55,Short
ORD-0173,Gamma Packaging,Packaging X,2026-06-12,2026-06-20,2026-06-28,598,526,79.38,Short
ORD-0174,Beta Metals,Raw Material A,2026-06-01,2026-06-04,2026-06-05,470,470,29.56,Complete
ORD-0175,Omega Parts,Packaging Y,2026-05-27,2026-06-03,2026-06-03,178,133,57.97,Short
ORD-0176,Gamma Packaging,Packaging X,2026-04-07,2026-04-15,2026-04-15,469,445,88.34,Short
ORD-0177,Delta Logistics,Raw Material B,2026-05-31,2026-06-07,2026-06-10,107,80,66.7,Short
ORD-0178,Beta Metals,Packaging Y,2026-02-03,2026-02-06,2026-02-06,314,235,125.0,Short
ORD-0179,Beta Metals,Packaging X,2026-07-09,2026-07-16,2026-07-16,394,374,44.45,Short
ORD-0180,Alpha Components,Packaging Y,2026-04-16,2026-04-26,2026-04-26,301,301,145.71,Complete
ORD-0181,Beta Metals,Packaging Y,2026-07-16,2026-07-24,2026-07-24,434,434,119.43,Complete
ORD-0182,Alpha Components,Raw Material A,2026-02-01,2026-02-05,2026-02-05,182,182,145.4,Complete
ORD-0183,Delta Logistics,Raw Material B,2026-04-15,2026-04-25,2026-04-25,383,383,127.02,Complete
ORD-0184,Alpha Components,Packaging X,2026-05-27,2026-06-06,2026-06-06,404,355,28.18,Short
ORD-0185,Delta Logistics,Component Z,2026-04-15,2026-04-19,2026-04-20,398,390,82.76,Short
ORD-0186,Omega Parts,Raw Material A,2026-04-04,2026-04-13,2026-04-13,209,204,32.14,Short
ORD-0187,Delta Logistics,Raw Material A,2026-02-04,2026-02-10,2026-02-10,217,217,124.19,Complete
ORD-0188,Gamma Packaging,Component Z,2026-03-22,2026-03-29,2026-04-03,191,187,90.95,Short
ORD-0189,Alpha Components,Component Z,2026-02-20,2026-02-26,2026-02-28,303,287,45.41,Short
ORD-0190,Omega Parts,Raw Material A,2026-03-05,2026-03-14,2026-03-14,372,279,140.0,Short
ORD-0191,Alpha Components,Packaging X,2026-05-24,2026-06-03,2026-06-03,249,219,24.36,Short
ORD-0192,Delta Logistics,Packaging Y,2026-05-13,2026-05-22,2026-05-25,275,261,88.07,Short
ORD-0193,Delta Logistics,Raw Material A,2026-05-08,2026-05-18,2026-05-18,207,155,110.39,Short
ORD-0194,Alpha Components,Raw Material B,2026-03-17,2026-03-27,2026-03-27,170,170,16.36,Complete
ORD-0195,Delta Logistics,Raw Material B,2026-07-21,2026-07-24,2026-07-27,411,308,92.9,Short
ORD-0196,Alpha Components,Packaging Y,2026-01-19,2026-01-24,2026-01-24,498,498,123.86,Complete
ORD-0197,Beta Metals,Raw Material B,2026-03-13,2026-03-21,2026-03-23,209,209,17.59,Complete
ORD-0198,Omega Parts,Packaging X,2026-01-25,2026-02-01,2026-02-01,523,523,80.74,Complete
ORD-0199,Omega Parts,Raw Material B,2026-03-13,2026-03-16,2026-03-17,364,364,44.72,Complete
ORD-0200,Beta Metals,Packaging Y,2026-07-21,2026-07-24,2026-07-24,142,142,102.14,Complete
ORD-0201,Omega Parts,Raw Material A,2026-03-18,2026-03-25,2026-03-25,251,188,24.85,Short
ORD-0202,Omega Parts,Raw Material B,2026-07-10,2026-07-17,2026-07-17,54,47,141.06,Short
ORD-0203,Delta Logistics,Raw Material B,2026-04-14,2026-04-18,2026-04-18,71,71,135.05,Complete
ORD-0204,Alpha Components,Component Z,2026-05-27,2026-05-31,2026-06-03,234,205,34.41,Short
ORD-0205,Beta Metals,Component Z,2026-04-07,2026-04-11,2026-04-11,299,299,53.9,Complete
ORD-0206,Delta Logistics,Packaging X,2026-02-25,2026-03-04,2026-03-04,488,488,91.44,Complete
ORD-0207,Omega Parts,Raw Material A,2026-06-10,2026-06-13,2026-06-15,123,116,109.96,Short
ORD-0208,Omega Parts,Packaging Y,2026-07-23,2026-07-30,2026-08-01,511,511,70.86,Complete
ORD-0209,Gamma Packaging,Packaging X,2026-02-25,2026-03-03,2026-03-03,178,156,30.19,Short
ORD-0210,Beta Metals,Component Z,2026-06-13,2026-06-19,2026-06-19,126,94,22.79,Short
ORD-0211,Omega Parts,Raw Material B,2026-02-24,2026-03-04,2026-03-12,434,434,149.97,Complete
ORD-0212,Beta Metals,Component Z,2026-05-31,2026-06-07,2026-06-08,475,475,72.66,Complete
ORD-0213,Beta Metals,Component Z,2026-06-15,2026-06-23,2026-06-25,382,286,131.9,Short
ORD-0214,Omega Parts,Raw Material B,2026-04-05,2026-04-14,2026-04-17,113,110,76.5,Short
ORD-0215,Gamma Packaging,Packaging Y,2026-06-04,2026-06-14,2026-06-16,113,110,138.97,Short
ORD-0216,Beta Metals,Raw Material B,2026-02-27,2026-03-08,2026-03-08,264,258,20.46,Short
ORD-0217,Alpha Components,Raw Material B,2026-01-17,2026-01-24,2026-01-24,297,291,24.19,Short
ORD-0218,Gamma Packaging,Raw Material B,2026-01-21,2026-01-27,2026-01-27,599,569,140.01,Short
ORD-0219,Omega Parts,Packaging Y,2026-04-04,2026-04-08,2026-04-09,207,196,142.54,Short
ORD-0220,Gamma Packaging,Raw Material B,2026-07-09,2026-07-16,2026-07-21,155,155,52.69,Complete
ORD-0221,Delta Logistics,Packaging Y,2026-01-27,2026-01-31,2026-01-31,570,541,58.43,Short
ORD-0222,Beta Metals,Packaging X,2026-04-06,2026-04-16,2026-04-16,134,127,72.25,Short
ORD-0223,Delta Logistics,Packaging Y,2026-05-28,2026-06-06,2026-06-06,64,64,67.09,Complete
ORD-0224,Delta Logistics,Component Z,2026-02-12,2026-02-15,2026-02-20,282,282,34.99,Complete
ORD-0225,Delta Logistics,Raw Material A,2026-06-01,2026-06-10,2026-06-10,270,237,135.57,Short
ORD-0226,Delta Logistics,Component Z,2026-03-06,2026-03-09,2026-03-09,390,370,43.97,Short
ORD-0227,Gamma Packaging,Raw Material A,2026-06-19,2026-06-27,2026-06-27,532,532,108.15,Complete
ORD-0228,Beta Metals,Packaging X,2026-05-02,2026-05-05,2026-05-05,563,563,17.54,Complete
ORD-0229,Delta Logistics,Raw Material B,2026-04-25,2026-05-01,2026-05-01,209,198,13.5,Short
ORD-0230,Omega Parts,Packaging Y,2026-02-07,2026-02-15,2026-02-15,589,577,100.83,Short
ORD-0231,Omega Parts,Packaging Y,2026-04-08,2026-04-16,2026-04-16,397,297,56.14,Short
ORD-0232,Beta Metals,Component Z,2026-06-29,2026-07-05,2026-07-05,88,86,101.08,Short
ORD-0233,Delta Logistics,Packaging X,2026-01-05,2026-01-15,2026-01-15,566,424,21.35,Short
ORD-0234,Alpha Components,Component Z,2026-06-09,2026-06-18,2026-06-18,125,125,142.88,Complete
ORD-0235,Gamma Packaging,Raw Material B,2026-04-14,2026-04-18,2026-04-18,373,365,114.29,Short
ORD-0236,Gamma Packaging,Raw Material B,2026-06-01,2026-06-09,2026-06-10,484,484,132.43,Complete
ORD-0237,Beta Metals,Raw Material B,2026-05-20,2026-05-28,2026-05-28,187,177,27.38,Short
ORD-0238,Omega Parts,Packaging X,2026-04-01,2026-04-06,2026-04-06,198,198,53.46,Complete
ORD-0239,Omega Parts,Packaging Y,2026-03-06,2026-03-14,2026-03-14,311,304,60.3,Short
ORD-0240,Alpha Components,Component Z,2026-05-12,2026-05-22,2026-05-22,536,536,84.28,Complete
ORD-0241,Beta Metals,Raw Material B,2026-01-30,2026-02-08,2026-02-08,172,172,50.16,Complete
ORD-0242,Beta Metals,Raw Material B,2026-05-03,2026-05-12,2026-05-12,414,414,16.61,Complete
ORD-0243,Omega Parts,Component Z,2026-01-20,2026-01-28,2026-01-31,298,292,60.38,Short
ORD-0244,Gamma Packaging,Packaging X,2026-05-17,2026-05-22,2026-05-22,111,83,44.15,Short
ORD-0245,Delta Logistics,Raw Material B,2026-05-13,2026-05-22,2026-05-22,440,440,62.8,Complete
ORD-0246,Omega Parts,Component Z,2026-01-18,2026-01-23,2026-01-23,507,507,35.97,Complete
ORD-0247,Delta Logistics,Packaging X,2026-06-09,2026-06-16,2026-06-16,366,366,45.19,Complete
ORD-0248,Alpha Components,Component Z,2026-03-29,2026-04-03,2026-04-03,146,128,97.03,Short
ORD-0249,Alpha Components,Component Z,2026-06-15,2026-06-20,2026-06-22,135,135,63.12,Complete
ORD-0250,Beta Metals,Component Z,2026-01-09,2026-01-13,2026-01-16,282,211,57.04,Short
ORD-0251,Beta Metals,Packaging X,2026-02-07,2026-02-17,2026-02-17,328,328,83.81,Complete
ORD-0252,Delta Logistics,Packaging Y,2026-04-14,2026-04-18,2026-04-18,353,353,117.6,Complete
ORD-0253,Alpha Components,Component Z,2026-02-09,2026-02-12,2026-02-12,184,174,61.8,Short
ORD-0254,Beta Metals,Raw Material B,2026-03-11,2026-03-21,2026-03-21,325,308,91.43,Short
ORD-0255,Beta Metals,Raw Material A,2026-05-19,2026-05-26,2026-05-27,212,159,145.2,Short
ORD-0256,Alpha Components,Raw Material B,2026-01-31,2026-02-06,2026-02-06,427,320,82.12,Short
ORD-0257,Alpha Components,Packaging Y,2026-05-23,2026-05-31,2026-05-31,488,366,137.19,Short
ORD-0258,Alpha Components,Packaging X,2026-01-22,2026-01-28,2026-02-02,408,387,120.7,Short
ORD-0259,Gamma Packaging,Raw Material A,2026-02-06,2026-02-10,2026-02-10,50,50,16.34,Complete
ORD-0260,Gamma Packaging,Packaging X,2026-05-04,2026-05-12,2026-05-12,595,583,68.93,Short
